name,image_url,video_url,funding_amount,funding_percent,days_left,end_date
Unitree Pump: Motor-Powered All-in-One Smart Pocket Gym,https://i.kickstarter.com/assets/038/406/018/f0f4d6cd04767041e5b4877dd216416f_original.jpg?anim=false&fit=cover&gravity=auto&height=198&origin=ugc&q=92&v=1661596223&width=352&sig=l%2FoTJbHl0O3615XvflTn%2BIMwS4SXw1HbIgLsTGv4OAM%3D,https://v2.kickstarter.com/1749634906-ofUYfNBNBKK5aNnQC%2F8PHK6ZSB8szZpsRk0wqM0hYcs%3D/projects/4418538/video-1183620-h264_base.mp4,"$567,691",11353.82%,Expired,2022-10-29
Hinyx MagFlex 2 in1 Foldable Magnetic Wireless Charger Stand,https://i.kickstarter.com/assets/038/540/157/8ce1f367a3b08a4a0df984274cbc2f80_original.jpg?anim=false&fit=cover&gravity=auto&height=198&origin=ugc&q=92&v=1662731270&width=352&sig=lFgNlMbgkQCuQ6xWML6kjs1XcOQ5NVNK17Is3rAvGnY%3D,https://v2.kickstarter.com/1749698690-hL4SkqHuk2X1D00IukIcfiUkf3k3M94ZyZncXBVzuho%3D/projects/4368835/video-1180446-h264_base.mp4,"$21,024",825.21%,Expired,2022-09-22
EZ MILL- 2 in 1 Salt & Pepper E-Dual Mill,https://i.kickstarter.com/assets/038/253/791/9a1b3699c318f31838755d7cf38d4112_original.png?anim=false&fit=cover&gravity=auto&height=198&origin=ugc&q=92&v=1660291577&width=352&sig=POxzU%2BcYCkoxkqNlfiMK88CZbY1qCqEdKQz3KCHf8Cc%3D,https://v2.kickstarter.com/1749647101-QkSPihfse0gVEUtvL81BE5i9TuGusthgCp5RaUKpwjM%3D/projects/4414766/video-1181343-h264_base.mp4,"$17,239",861.95%,Expired,2022-09-16
GOFU New Generation Fully functional Compact Vacuum Sealer,https://i.kickstarter.com/assets/038/303/808/e33d0bb93a45029462847df62e189e96_original.jpg?anim=false&fit=cover&gravity=auto&height=198&origin=ugc&q=92&v=1660720974&width=352&sig=Y4OzeCLxBGSDt4%2FdnZwuygPggjzAn2uhIALW5JLGnZg%3D,https://v2.kickstarter.com/1749700925-7Vyjg2KlWG1R9mTVt%2F2bQKNChqwjqjhSpyf7JSwnx8k%3D/projects/4407488/video-1178181-h264_base.mp4,"$4,674",183.39%,Expired,2022-09-15
RetroMarks: A Bookmark Time Machine,https://i.kickstarter.com/assets/049/385/729/b9b08b1f88e50ab66926073842b8a84a_original.png?anim=false&fit=cover&gravity=auto&height=198&origin=ugc&q=92&v=1747939159&width=352&sig=EKnPWXt8vR%2FOKzwCPPfZdApGAEWrbYIOgZazqJFMpbk%3D,,$878,1548.00%,Expired,2025-06-01
The world's first 3-in-1 magnetic PD fast charging cable,https://i.kickstarter.com/assets/037/879/422/36b34d24b3a5a8b74b80482e87b793c0_original.png?anim=false&fit=cover&gravity=auto&height=198&origin=ugc&q=92&v=1657160258&width=352&sig=7ADMLAFD7Pnd0iuXRYfUkwuCgYROSTFz0D2g3LldtYc%3D,https://v2.kickstarter.com/1749692787-%2B3YO1vp1taTRay4M7VXMIFfQ4pvKSU%2FwFudeF8esDcc%3D/projects/4392325/video-1174628-h264_base.mp4,"$4,298",336.72%,Expired,2022-08-15
UpLock: The first portable safe with theft detection & alarm,https://i.kickstarter.com/assets/036/913/980/971fa0c8445f2214900ff461df9bc784_original.png?anim=false&fit=cover&gravity=auto&height=198&origin=ugc&q=92&v=1649337086&width=352&sig=pofdiJ%2BqLrsLEZEBzmfBUkPK8MN48HfQSYWCTjAY7Xo%3D,https://v2.kickstarter.com/1749700939-8Sr3B0202CQ8EWrwp0Cbs42%2FmOpDRyjJNQQlyoQuCdk%3D/projects/4340288/video-1167277-h264_base.mp4,"$21,636",107.82%,Expired,2022-07-14
Titan Slim: The New Sleek & Slim QWERTY Android Smartphone,https://i.kickstarter.com/assets/037/137/272/d4adfbb148c1354a6d6109505252a4eb_original.jpg?anim=false&fit=cover&gravity=auto&height=198&origin=ugc&q=92&v=1651221735&width=352&sig=ihvgSes85ZHVql7HXSyFxNh6dA3zRAQScg4xtf5cckc%3D,https://v2.kickstarter.com/1749632138-hhcojZIumTy9Zl507pIwoR8OOVmJY98kOrwX3txJUf8%3D/projects/4321094/video-1165495-h264_base.mp4,"$585,911",1171.61%,Expired,2022-06-09
Cherry Tart: LEGO-compatible Sound-activated Building Block,https://i.kickstarter.com/assets/037/406/872/332620f1612a872d79d8345e2dbe2063_original.jpg?anim=false&fit=cover&gravity=auto&height=198&origin=ugc&q=92&v=1653332798&width=352&sig=vhwPfpe6VL2XKvTvI%2B08OjBzjv8azIVimBEXq9vE5Ak%3D,https://v2.kickstarter.com/1749696506-43bd2B6cN3KturNJ2lM9oONUdveyrsNW0CKGKBRe8Q8%3D/projects/4337181/video-1163040-h264_base.mp4,"$15,682",501.93%,Expired,2022-05-24
OISLE - The All-metal Ultra-Slim 65W Dual USB-C Power Bank,https://i.kickstarter.com/assets/037/387/158/a4a1254698002b682d202c3899f06776_original.jpg?anim=false&fit=cover&gravity=auto&height=198&origin=ugc&q=92&v=1653148579&width=352&sig=ab1yxHhuLc7H4xHwZZRPIiOJ06v33AfSQ90If3%2ByVkQ%3D,https://v2.kickstarter.com/1749652111-N0HgIFSypaddp0pAJ9z9m9kifBbV8CfaCukJ%2Fa8HGkI%3D/projects/4349901/video-1162436-h264_base.mp4,"$45,607",1153.85%,Expired,2022-06-01
P4: YOUR ALL-IN-ONE COMPLETELY WIRELESS CHARGING SOLUTION ⚡️,https://i.kickstarter.com/assets/037/368/168/3721abb431b4c11482ddcf72d4fe65b9_original.png?anim=false&fit=cover&gravity=auto&height=198&origin=ugc&q=92&v=1652991003&width=352&sig=fz6mikuSxhyovVDBKFsnEx%2FpFs73%2BaiXWVD0pM6VmNM%3D,https://v2.kickstarter.com/1749627574-3dpY9Y%2BKGrpmxwk2HBfctrByD06V1evH%2BuLtWS%2ByrkE%3D/projects/4227196/video-1159105-h264_base.mp4,"$178,456",892.28%,Expired,2022-05-22
C2C caberQU - USB C cable tester,https://i.kickstarter.com/assets/036/489/741/7d607f79b2f502b47bcf1eff059e7593_original.png?anim=false&fit=cover&gravity=auto&height=198&origin=ugc&q=92&v=1646004370&width=352&sig=NE%2B%2FwTEyo1fFg3EEyiUvOSo6Qfe6GnOz2tQRd%2FQuBGw%3D,https://v2.kickstarter.com/1749700951-Fq0WtedxlLGsfIUKq7KNo8QzklV%2FZzCRH3N%2FWflU598%3D/projects/4320403/video-1153581-h264_base.mp4,"$26,897",568.71%,Expired,2022-05-09
GAODI–High-performance Night Vision Goggles With 3D Display,https://i.kickstarter.com/assets/037/073/098/91eec2c32db2c142c638a6db608b23bf_original.png?anim=false&fit=cover&gravity=auto&height=198&origin=ugc&q=92&v=1650706545&width=352&sig=EiDLyxrybaVDo5f2marczaIMXTywovAZiRJ2dlCq%2B%2F0%3D,https://v2.kickstarter.com/1749700953-0cIDywUA55PA6PFcorHF3T578UCdaKUoYP%2BF722hdJA%3D/projects/4323628/video-1159199-h264_base.mp4,"$81,431",798.79%,Expired,2022-05-22
TempBuddy: Turn Your Phone into a Modern Thermometer 🌡️,https://i.kickstarter.com/assets/036/872/281/1fa39bb11b925314667ce35d81069a19_original.png?anim=false&fit=cover&gravity=auto&height=198&origin=ugc&q=92&v=1649015713&width=352&sig=gl2jOpTU5kB2LU4UzaCkUtteATfFh6J%2FbxeZlJiHsfI%3D,https://v2.kickstarter.com/1749644354-MSyL65BDU9BgRKRHoLCfeNWUjpEdMQG8hqGsfrH5rUM%3D/projects/4301478/video-1155690-h264_base.mp4,"$80,810",1037.06%,Expired,2022-05-06
"Tolez, Customizable Lighting System Defines Your Space",https://i.kickstarter.com/assets/037/203/276/339df838d3702bc2491997e667698880_original.JPG?anim=false&fit=cover&gravity=auto&height=198&origin=ugc&q=92&v=1651755045&width=352&sig=Ys3%2FOA7bcdo8dhOieSyeMZQ%2FMDUgIJfxqTa4t3H3V%2Fk%3D,https://v2.kickstarter.com/1749624982-zS4LVvXijwwo5o5ZXO7yuW750MHvk0Xkl8rapleOwVk%3D/projects/4334346/video-1158852-h264_base.mp4,"$8,770",175.40%,Expired,2022-05-05
